"year";"plot";"sp";"lambda"
2020;5;"POMO";NA
2021;5;"POMO";NA
2015;6;"POMO";NA
2016;6;"POMO";NA
2017;6;"POMO";NA
2018;6;"POMO";NA
2019;6;"POMO";NA
2020;6;"POMO";NA
2021;6;"POMO";NA
2015;7;"POMO";349,305080951558
2016;7;"POMO";NA
2017;7;"POMO";NA
2018;7;"POMO";NA
2019;7;"POMO";270,760785219231
2020;7;"POMO";104,141991687586
2021;7;"POMO";178,516636782944
2015;8;"POMO";349,305080951558
2016;8;"POMO";91,2139078703337
2017;8;"POMO";NA
2018;8;"POMO";NA
2019;8;"POMO";270,760785219231
2020;8;"POMO";104,141991687586
2021;8;"POMO";178,516636782944
2015;9;"POMO";NA
2016;9;"POMO";91,2139078703337
2017;9;"POMO";NA
2018;9;"POMO";NA
2019;9;"POMO";270,760785219231
2020;9;"POMO";NA
2021;9;"POMO";178,516636782944
2015;1;"PUPA";896,267468729049
2016;1;"PUPA";908,483383969829
2017;1;"PUPA";880,135383493903
2018;1;"PUPA";641,725338508266
2019;1;"PUPA";NA
2020;1;"PUPA";261,807682761725
2021;1;"PUPA";NA
2015;2;"PUPA";896,267468729049
2016;2;"PUPA";908,483383969829
2017;2;"PUPA";880,135383493903
2018;2;"PUPA";641,725338508266
2019;2;"PUPA";962,254396529606
2020;2;"PUPA";261,807682761725
2021;2;"PUPA";NA
2015;3;"PUPA";896,267468729049
2016;3;"PUPA";908,483383969829
2017;3;"PUPA";880,135383493903
2018;3;"PUPA";641,725338508266
2019;3;"PUPA";NA
2020;3;"PUPA";261,807682761725
2021;3;"PUPA";NA
2015;4;"PUPA";896,267468729049
2016;4;"PUPA";908,483383969829
2017;4;"PUPA";880,135383493903
2018;4;"PUPA";641,725338508266
2019;4;"PUPA";NA
2020;4;"PUPA";261,807682761725
2021;4;"PUPA";NA
2015;5;"PUPA";896,267468729049
2016;5;"PUPA";908,483383969829
2017;5;"PUPA";880,135383493903
2018;5;"PUPA";641,725338508266
2019;5;"PUPA";NA
2020;5;"PUPA";261,807682761725
2021;5;"PUPA";NA
2015;6;"PUPA";NA
2016;6;"PUPA";908,483383969829
2017;6;"PUPA";880,135383493903
2018;6;"PUPA";641,725338508266
2019;6;"PUPA";NA
2020;6;"PUPA";261,807682761725
2021;6;"PUPA";NA
2015;7;"PUPA";896,267468729049
2016;7;"PUPA";908,483383969829
2017;7;"PUPA";NA
2018;7;"PUPA";NA
2019;7;"PUPA";962,254396529606
2020;7;"PUPA";261,807682761725
2021;7;"PUPA";306,738308497055
2015;8;"PUPA";896,267468729049
2016;8;"PUPA";908,483383969829
2017;8;"PUPA";880,135383493903
2018;8;"PUPA";NA
2019;8;"PUPA";962,254396529606
2020;8;"PUPA";261,807682761725
2021;8;"PUPA";306,738308497055
2015;9;"PUPA";NA
2016;9;"PUPA";908,483383969829
2017;9;"PUPA";NA
2018;9;"PUPA";NA
2019;9;"PUPA";NA
2020;9;"PUPA";261,807682761725
2021;9;"PUPA";NA
2015;1;"SASO";269,568865927714
2016;1;"SASO";62,5039142579967
2017;1;"SASO";54,4361114174981
2018;1;"SASO";81,9137035131555
2019;1;"SASO";11,9914369597345
2020;1;"SASO";160,209113407289
2021;1;"SASO";35,4008034228547
2015;2;"SASO";269,568865927714
2016;2;"SASO";62,5039142579967
2017;2;"SASO";54,4361114174981
2018;2;"SASO";81,9137035131555
2019;2;"SASO";11,9914369597345
2020;2;"SASO";160,209113407289
2021;2;"SASO";35,4008034228547
2015;3;"SASO";269,568865927714
2016;3;"SASO";62,5039142579967
2017;3;"SASO";54,4361114174981
2018;3;"SASO";81,9137035131555
2019;3;"SASO";11,9914369597345
2020;3;"SASO";160,209113407289
2021;3;"SASO";35,4008034228547
2015;4;"SASO";269,568865927714
2016;4;"SASO";62,5039142579967
2017;4;"SASO";54,4361114174981
2018;4;"SASO";81,9137035131555
2019;4;"SASO";11,9914369597345
2020;4;"SASO";NA
2021;4;"SASO";NA
2015;5;"SASO";269,568865927714
2016;5;"SASO";62,5039142579967
2017;5;"SASO";54,4361114174981
2018;5;"SASO";81,9137035131555
2019;5;"SASO";11,9914369597345
